name,nominations,wins,lead/secondary details,role
Gene Lockhart,1,0,S,Algiers
Robert Loggia,1,0,S,Jagged Edge
Carole Lombard,1,0,L,My Man Godfrey
Sophia Loren,2,1,L,Two Women
Joan Lorring,1,0,S,"Corn Is Green, The"
Bessie Love,1,0,L,"Broadway Melody, The"
Paul Lukas,1,1,L,Watch on the Rhine
Alfred Lunt,1,0,L,"Guardsman, The"
Ali MacGraw,1,0,L,Love Story
Shirley MacLaine,5,1,L,Terms of Endearment
Aline MacMahon,1,0,S,Dragon Seed
William H. Macy,1,0,S,Fargo
Amy Madigan,1,0,S,Twice in a Lifetime
Virginia Madsen,1,0,S,Sideways
Anna Magnani,2,1,L,"Rose Tattoo, The"
Marjorie Main,1,0,S,"Egg and I, The"
Mako,1,0,S,"Sand Pebbles, The"
Karl Malden,2,1,S,"Streetcar Named Desire, A"
Rami Malek,1,1,L,Bohemian Rhapsody
John Malkovich,2,0,S,Places in the Heart
Dorothy Malone,1,1,S,Written on the Wind
Joe Mantell,1,0,S,Marty
Lesley Manville,1,0,S,Phantom Thread
Rooney Mara,2,0,1L:1S,"Girl with the Dragon Tattoo, The"
Fredric March,5,2,L,Dr. Jekyll and Mr. Hyde(1931)[w 24]
Colette Marchand,1,0,S,Moulin Rouge
John Marley,1,0,S,Love Story
Lee Marvin,1,1,L,Cat Ballou
James Mason,3,0,1L:2S,"Star Is Born, A"
Marsha Mason,4,0,L,Cinderella Liberty
Daniel Massey,1,0,S,Star!
Raymond Massey,1,0,L,Abe Lincoln in Illinois
Mary E. Mastrantonio,1,0,S,"Color of Money, The"
Marcello Mastroianni,3,0,L,Divorce Italian Style
Marlee Matlin,1,1,L,Children of a Lesser God
Walter Matthau,3,1,2L0:1S1,"Fortune Cookie, The"
Rachel McAdams,1,0,S,Spotlight
Mercedes McCambridge,2,1,S,All the King's Men
Kevin McCarthy,1,0,S,Death of a Salesman
Melissa McCarthy,2,0,1L:1S,Can You Ever Forgive Me?
Matthew McConaughey,1,1,L,Dallas Buyers Club
Patty McCormack,1,0,S,"Bad Seed, The"
Hattie McDaniel,1,1,S,Gone with the Wind
Mary McDonnell,2,0,1L:1S,Passion Fish
Frances McDormand,6,3,3L3:3S0,Fargo(1996)[w 25]
Elizabeth McGovern,1,0,S,Ragtime
Dorothy McGuire,1,0,L,Gentleman's Agreement
Ian McKellen,2,0,1L:1S,Gods and Monsters
Victor McLaglen,2,1,1L1:1S0,"Informer, The"
Maggie McNamara,1,0,L,"Moon Is Blue, The"
Steve McQueen,1,0,L,"Sand Pebbles, The"
Janet McTeer,2,0,1L:1S,Tumbleweeds
Kay Medford,1,0,S,Funny Girl
Adolphe Menjou,1,0,L,"Front Page, The"
Vivien Merchant,1,0,S,Alfie
Melina Mercouri,1,0,L,Never on Sunday
Burgess Meredith,2,0,S,"Day of the Locust, The"
Una Merkel,1,0,S,Summer and Smoke
Paul Mescal,1,0,L,Aftersun
Laurie Metcalf,1,0,S,Lady Bird
Bette Midler,2,0,L,"Rose, The"
Sarah Miles,1,0,L,Ryan's Daughter
Sylvia Miles,2,0,S,Midnight Cowboy
Penelope Milford,1,0,S,Coming Home
Ray Milland,1,1,L,"Lost Weekend, The"
Jason Miller,1,0,S,"Exorcist, The"
John Mills,1,1,S,Ryan's Daughter
Sal Mineo,2,0,S,Rebel Without a Cause
Liza Minnelli,2,1,L,Cabaret
Helen Mirren,4,1,2L1:2S0,"Queen, The(2006)"
Thomas Mitchell,2,1,S,Stagecoach
Robert Mitchum,1,0,S,"Story of G.I. Joe, The"
Mo'Nique,1,1,S,Precious
Fernanda Montenegro,1,0,L,Central Station
Robert Montgomery,2,0,L,Night Must Fall
Ron Moody,1,0,L,Oliver!
Dudley Moore,1,0,L,Arthur
Grace Moore,1,0,L,One Night of Love
Juanita Moore,1,0,S,Imitation of Life
Julianne Moore,5,1,3L1:2S0,Still Alice[n 8]
Mary Tyler Moore,1,0,L,Ordinary People
Terry Moore,1,0,S,"Come Back, Little Sheba"
Agnes Moorehead,4,0,S,"Magnificent Ambersons, The"
Rita Moreno,1,1,S,West Side Story
Frank Morgan,2,0,1L:1S,"Affairs of Cellini, The"
Cathy Moriarty,1,0,S,Raging Bull
Pat Morita,1,0,S,"Karate Kid, The"
Robert Morley,1,0,S,Marie Antoinette
Chester Morris,1,0,L,Alibi
Viggo Mortensen,3,0,L,Eastern Promises
Samantha Morton,2,0,1L:1S,In America
Armin Mueller-Stahl,1,0,S,Shine
Carey Mulligan,2,0,L,"Education, An"
Paul Muni,6,1,L,"Story of Louis Pasteur, The(1936)"
Eddie Murphy,1,0,S,Dreamgirls
Bill Murray,1,0,L,Lost in Translation
Don Murray,1,0,S,Bus Stop
J. Carrol Naish,2,0,S,Sahara
Mildred Natwick,1,0,S,Barefoot in the Park
Patricia Neal,2,1,L,Hud
Liam Neeson,1,0,L,Schindler's List
Ruth Negga,1,0,L,Loving
Kate Nelligan,1,0,S,"Prince of Tides, The"
Paul Newman,9,1,8L1:1S0,"Color of Money, The(1986)"
Haing S. Ngor,1,1,S,"Killing Fields, The"
Jack Nicholson,12,3,8L2:4S1,One Flew Over the Cuckoo's Nest(1975)[w 26]
Bill Nighy,1,0,S,Living
David Niven,1,1,L,Separate Tables
Nick Nolte,3,0,2L:1S,"Prince of Tides, The"
Edward Norton,3,0,1L:2S,American History X(1998)
Lupita Nyong'o,1,1,S,12 Years a Slave
Edmond O'Brien,2,1,S,"Barefoot Contessa, The"
Arthur O'Connell,2,0,S,Picnic
Dan O'Herlihy,1,0,L,Robinson Crusoe
Michael O'Keefe,1,0,S,"Great Santini, The"
Ryan O'Neal,1,0,L,Love Story
Tatum O'Neal,1,1,S,Paper Moon
Barbara O'Neil,1,0,S,"All This, and Heaven Too"
Peter O'Toole,8,0,L,Lawrence of Arabia
Jack Oakie,1,0,S,"Great Dictator, The"
Merle Oberon,1,0,L,"Dark Angel, The"
Leslie Odom Jr.,1,0,S,One Night in Miami...
Sophie Okonedo,1,0,S,Hotel Rwanda
Gary Oldman,3,1,L,Darkest Hour
Lena Olin,1,0,S,"Enemies, A Love Story"
Edna May Oliver,1,0,S,Drums Along the Mohawk
Laurence Olivier,10,1,9L1:1S0,Hamlet(1948)
Edward James Olmos,1,0,L,Stand and Deliver
Nancy Olson,1,0,S,Sunset Boulevard
Haley Joel Osment,1,0,S,"Sixth Sense, The"
Maria Ouspenskaya,2,0,S,Dodsworth
Clive Owen,1,0,S,Closer
Al Pacino,9,1,5L1:4S0,Scent of a Woman(1992)[n 9]
Elliot Page,1,0,L,Juno
Geraldine Page,8,1,4L1:4S0,"Trip to Bountiful, The"
Jack Palance,3,1,S,City Slickers
Chazz Palminteri,1,0,S,Bullets over Broadway
Gwyneth Paltrow,1,1,L,Shakespeare in Love
Anna Paquin,1,1,S,"Piano, The"
Eleanor Parker,3,0,L,Caged
Larry Parks,1,0,L,"Jolson Story, The"
Estelle Parsons,2,1,S,Bonnie and Clyde
Dev Patel,1,0,S,Lion
Marisa Pavan,1,0,S,"Rose Tattoo, The"
Katina Paxinou,1,1,S,For Whom the Bell Tolls
David Paymer,1,0,S,Mr. Saturday Night
Gregory Peck,5,1,L,To Kill a Mockingbird
Sean Penn,5,2,L,Mystic River(2003)[w 27]
Rosie Perez,1,0,S,Fearless
Anthony Perkins,1,0,S,Friendly Persuasion
Valerie Perrine,1,0,L,Lenny
Joe Pesci,3,1,S,Goodfellas(1990)
Susan Peters,1,0,S,Random Harvest
Michelle Pfeiffer,3,0,2L:1S,"Fabulous Baker Boys, The(1989)"
Joaquin Phoenix,4,1,3L1:1S0,Joker
River Phoenix,1,0,S,Running on Empty
Mary Pickford,1,1,L,Coquette
Walter Pidgeon,2,0,L,Mrs. Miniver
Rosamund Pike,1,0,L,Gone Girl
Brad Pitt,4,1,2L0:2S1,Once Upon a Time in Hollywood
Jesse Plemons,1,0,S,The Power of the Dog
Joan Plowright,1,0,S,Enchanted April
Christopher Plummer,3,1,S,Beginners(2011)
Sidney Poitier,2,1,L,Lilies of the Field
Michael J. Pollard,1,0,S,Bonnie and Clyde
Natalie Portman,3,1,2L1:1S0,Black Swan(2010)
Pete Postlethwaite,1,0,S,In the Name of the Father
William Powell,3,0,L,"Thin Man, The"
Robert Preston,1,0,S,Victor/Victoria
Jonathan Pryce,1,0,L,"Two Popes, The"
Florence Pugh,1,0,S,Little Women
Randy Quaid,1,0,S,"Last Detail, The"
Ke Huy Quan,1,1,S,Everything Everywhere All at Once
Anthony Quayle,1,0,S,Anne of the Thousand Days
Kathleen Quinlan,1,0,S,Apollo 13
Anthony Quinn,4,2,2L0:2S2,Viva Zapata![w 28]
Paul Raci,1,0,S,Sound of Metal
Luise Rainer,2,2,L,"Great Ziegfeld, The[w 29]"
Claude Rains,4,0,S,Mr. Smith Goes to Washington
Marjorie Rambeau,2,0,S,Primrose Path
Charlotte Rampling,1,0,L,45 Years
Anne Ramsey,1,0,S,Throw Momma from the Train
Basil Rathbone,2,0,S,Romeo and Juliet
Stephen Rea,1,0,L,"Crying Game, The"
Robert Redford,1,0,L,"Sting, The"
Lynn Redgrave,2,0,1L:1S,Georgy Girl
Michael Redgrave,1,0,L,Mourning Becomes Electra
Vanessa Redgrave,6,1,4L0:2S1,Julia(1977)
Joyce Redman,2,0,S,Tom Jones
Eddie Redmayne,2,1,L,"Theory of Everything, The"
Donna Reed,1,1,S,From Here to Eternity
John C. Reilly,1,0,S,Chicago
Lee Remick,1,0,L,Days of Wine and Roses
Jeremy Renner,2,0,1L:1S,"Hurt Locker, The"
Anne Revere,3,1,S,National Velvet(1945)
Burt Reynolds,1,0,S,Boogie Nights
Debbie Reynolds,1,0,L,"Unsinkable Molly Brown, The"
Beah Richards,1,0,S,Guess Who's Coming to Dinner
Miranda Richardson,2,0,1L:1S,Tom & Viv
Ralph Richardson,2,0,S,"Heiress, The"
Andrea Riseborough,1,0,L,To Leslie
Thelma Ritter,6,0,S,All About Eve
Emmanuelle Riva,1,0,L,Amour
Jason Robards,3,2,S,All the President's Men[w 30]
Margot Robbie,2,0,1L:1S,"I, Tonya"
Tim Robbins,1,1,S,Mystic River
Eric Roberts,1,0,S,Runaway Train
Julia Roberts,4,1,2L1:2S0,Erin Brockovich(2000)
Rachel Roberts,1,0,L,This Sporting Life
Cliff Robertson,1,1,L,Charly
Flora Robson,1,0,S,Saratoga Trunk
May Robson,1,0,L,Lady for a Day
Sam Rockwell,2,1,S,"Three Billboards Outside Ebbing, Missouri"
Ginger Rogers,1,1,L,Kitty Foyle
Howard Rollins,1,0,S,Ragtime
Saoirse Ronan,4,0,3L:1S,Atonement
Mickey Rooney,4,0,2L:2S,Babes in Arms
Diana Ross,1,0,L,Lady Sings the Blues
Katharine Ross,1,0,S,"Graduate, The"
Tim Roth,1,0,S,Rob Roy
Mickey Rourke,1,0,L,"Wrestler, The"
Gena Rowlands,2,0,L,"Woman Under the Influence, A"
Mercedes Ruehl,1,1,S,"Fisher King, The"
Mark Ruffalo,3,0,S,"Kids Are All Right, The"
Geoffrey Rush,4,1,2L1:2S0,Shine
Harold Russell,1,1,S,"Best Years of Our Lives, The"
Rosalind Russell,4,0,L,My Sister Eileen
Margaret Rutherford,1,1,S,"V.I.P.s, The"
Amy Ryan,1,0,S,Gone Baby Gone
Robert Ryan,1,0,S,Crossfire
Winona Ryder,2,0,1L:1S,Little Women
Mark Rylance,1,1,S,Bridge of Spies
Eva Marie Saint,1,1,S,On the Waterfront
George Sanders,1,1,S,All About Eve
Catalina Sandino Moreno,1,0,L,Maria Full of Grace
Chris Sarandon,1,0,S,Dog Day Afternoon
Susan Sarandon,5,1,L,Dead Man Walking
Telly Savalas,1,0,S,Birdman of Alcatraz
Diana Scarwid,1,0,S,Inside Moves
Roy Scheider,2,0,1L:1S,All That Jazz
Maximilian Schell,3,1,2L1:1S0,Judgment at Nuremberg
Joseph Schildkraut,1,1,S,"Life of Emile Zola, The"
Paul Scofield,2,1,1L1:1S0,"Man for All Seasons, A"
George C. Scott,4,1,2L1:2S0,Patton(1970)
Martha Scott,1,0,L,Our Town
Kristin Scott Thomas,1,0,L,"English Patient, The"
George Segal,1,0,S,Who's Afraid of Virginia Woolf?
Peter Sellers,2,0,L,Dr. Strangelove
Chlo? Sevigny,1,0,S,Boys Don't Cry
Amanda Seyfried,1,0,S,Mank
Michael Shannon,2,0,S,Revolutionary Road
Omar Sharif,1,0,S,Lawrence of Arabia
Robert Shaw,1,0,S,"Man for All Seasons, A"
Norma Shearer,5,1,L,"Divorcee, The"
Sam Shepard,1,0,S,"Right Stuff, The"
Talia Shire,2,0,1L:1S,"Godfather Part II, The"
Anne Shirley,1,0,S,Stella Dallas
Elisabeth Shue,1,0,L,Leaving Las Vegas
Gabourey Sidibe,1,0,L,Precious
Sylvia Sidney,1,0,S,"Summer Wishes, Winter Dreams"
Simone Signoret,2,1,L,Room at the Top
J. K. Simmons,2,1,S,Whiplash
Jean Simmons,2,0,1L:1S,"Happy Ending, The"
Frank Sinatra,2,1,1L0:1S1,From Here to Eternity
Gary Sinise,1,0,S,Forrest Gump
Lilia Skala,1,0,S,Lilies of the Field
Kodi Smit-McPhee,1,0,S,The Power of the Dog
Maggie Smith,6,2,2L1:4S1,"Prime of Miss Jean Brodie, The(1969)[w 31]"
Will Smith,3,1,L,King Richard
Carrie Snodgress,1,0,L,Diary of a Mad Housewife
Gale Sondergaard,2,1,S,Anthony Adverse
Mira Sorvino,1,1,S,Mighty Aphrodite
Ann Sothern,1,0,S,"Whales of August, The"
Sissy Spacek,6,1,L,Coal Miner's Daughter(1980)
Kevin Spacey,2,2,1L1:1S1,American Beauty[w 32]
Octavia Spencer,3,1,S,"Help, The"
June Squibb,1,0,S,Nebraska
Robert Stack,1,0,S,Written on the Wind
Sylvester Stallone,2,0,1L:1S,Rocky
Terence Stamp,1,0,S,Billy Budd
Lakeith Stanfield,1,0,S,Judas and the Black Messiah
Kim Stanley,2,0,1L:1S,S?ance on a Wet Afternoon
Barbara Stanwyck,4,0,L,Stella Dallas
Maureen Stapleton,4,1,S,Reds
Imelda Staunton,1,0,L,Vera Drake
Mary Steenburgen,1,1,S,Melvin and Howard
Rod Steiger,3,1,2L1:1S0,In the Heat of the Night
Hailee Steinfeld,1,0,S,True Grit
James Stephenson,1,0,S,"Letter, The"
Jan Sterling,1,0,S,"High and the Mighty, The"
James Stewart,5,1,L,"Philadelphia Story, The(1940)"
Kristen Stewart,1,0,L,Spencer
Dean Stockwell,1,0,S,Married to the Mob
Emma Stone,3,1,1L1:2S0,La La Land(2016)
Lewis Stone,1,0,L,"Patriot, The"
Sharon Stone,1,0,L,Casino
Beatrice Straight,1,1,S,Network
Lee Strasberg,1,0,S,"Godfather Part II, The"
David Strathairn,1,0,L,"Good Night, and Good Luck"
Robert Strauss,1,0,S,Stalag 17
Meryl Streep,21,3,17L2:4S1,Sophie's Choice(1982)[w 33]
Barbra Streisand,2,1,L,Funny Girl
Erich von Stroheim,1,0,S,Sunset Boulevard
Gloria Stuart,1,0,S,Titanic
Margaret Sullavan,1,0,L,Three Comrades
Janet Suzman,1,0,L,Nicholas and Alexandra
Hilary Swank,2,2,L,Boys Don't Cry[w 34]
Gloria Swanson,3,0,L,Sadie Thompson
Tilda Swinton,1,1,S,Michael Clayton
Russ Tamblyn,1,0,S,Peyton Place
Akim Tamiroff,2,0,S,"General Died at Dawn, The"
Jessica Tandy,2,1,1L1:1S0,Driving Miss Daisy
Elizabeth Taylor,5,2,L,BUtterfield 8(1960)[w 35]
Charlize Theron,3,1,L,Monster
Emma Thompson,4,1,3L1:1S0,Howards End[n 10]
Billy Bob Thornton,2,0,1L:1S,Sling Blade
Uma Thurman,1,0,S,Pulp Fiction
Lawrence Tibbett,1,0,L,"Rogue Song, The"
Gene Tierney,1,0,L,Leave Her to Heaven
Jennifer Tilly,1,0,S,Bullets over Broadway
Meg Tilly,1,0,S,Agnes of God
Richard Todd,1,0,L,"Hasty Heart, The"
Marisa Tomei,3,1,S,My Cousin Vinny
Lily Tomlin,1,0,S,Nashville
Franchot Tone,1,0,L,Mutiny on the Bounty
Topol,1,0,L,Fiddler on the Roof
Rip Torn,1,0,S,Cross Creek
Lee Tracy,1,0,S,"Best Man, The"
Spencer Tracy,9,2,L,Captains Courageous(1937)[w 36]
Henry Travers,1,0,S,Mrs. Miniver
John Travolta,2,0,L,Saturday Night Fever
Claire Trevor,3,1,S,Key Largo(1948)
Massimo Troisi,1,0,L,"Postman, The"
Stanley Tucci,1,0,S,"Lovely Bones, The"
Tom Tully,1,0,S,"Caine Mutiny, The"
Kathleen Turner,1,0,L,Peggy Sue Got Married
Lana Turner,1,0,L,Peyton Place
Susan Tyrrell,1,0,S,Fat City
Cicely Tyson,1,0,L,Sounder
Liv Ullmann,2,0,L,"Emigrants, The"
Miyoshi Umeki,1,1,S,Sayonara
Mary Ure,1,0,S,Sons and Lovers
Peter Ustinov,3,2,S,Spartacus(1960)[w 37]
Brenda Vaccaro,1,0,S,Once Is Not Enough
Jo Van Fleet,1,1,S,East of Eden
Diane Varsi,1,0,S,Peyton Place
Robert Vaughn,1,0,S,"Young Philadelphians, The"
Alicia Vikander,1,1,S,"Danish Girl, The"
Jon Voight,4,1,3L1:1S0,Coming Home(1978)
Max von Sydow,2,0,1L:1S,Pelle the Conqueror
Mark Wahlberg,1,0,S,"Departed, The"
Christopher Walken,2,1,S,"Deer Hunter, The"
Quvenzhan? Wallis,1,0,L,Beasts of the Southern Wild
Julie Walters,2,0,1L:1S,Educating Rita
Christoph Waltz,2,2,S,Inglourious Basterds[w 38]
Jack Warden,2,0,S,Shampoo
H. B. Warner,1,0,S,Lost Horizon
Lesley Ann Warren,1,0,S,Victor/Victoria
Denzel Washington,9,2,7L1:2S1,Glory(1989)[w 39]
Ken Watanabe,1,0,S,"Last Samurai, The"
Ethel Waters,1,0,S,Pinky
Sam Waterston,1,0,L,"Killing Fields, The"
Emily Watson,2,0,L,Breaking the Waves
Lucile Watson,1,0,S,Watch on the Rhine
Naomi Watts,2,0,L,21 Grams
John Wayne,2,1,L,True Grit
Jacki Weaver,2,0,S,Animal Kingdom
Sigourney Weaver,3,0,2L:1S,Aliens[n 11]
Clifton Webb,3,0,1L:2S,Sitting Pretty
Rachel Weisz,2,1,S,"Constant Gardener, The"
Tuesday Weld,1,0,S,Looking for Mr. Goodbar
Orson Welles,1,0,L,Citizen Kane
Oskar Werner,1,0,L,Ship of Fools
Forest Whitaker,1,1,L,"Last King of Scotland, The"
Stuart Whitman,1,0,L,"Mark, The"
James Whitmore,2,0,1L:1S,"Give 'em Hell, Harry!"
May Whitty,2,0,S,Night Must Fall
Richard Widmark,1,0,S,Kiss of Death
Dianne Wiest,3,2,S,Hannah and Her Sisters[w 40]
Jack Wild,1,0,S,Oliver!
Cornel Wilde,1,0,L,"Song to Remember, A"
Gene Wilder,1,0,S,"Producers, The"
Tom Wilkinson,2,0,1L:1S,In the Bedroom
Cara Williams,1,0,S,"Defiant Ones, The"
Michelle Williams,5,0,3L:2S,Blue Valentine(2010)
Robin Williams,4,1,3L0:1S1,Good Will Hunting
Chill Wills,1,0,S,"Alamo, The"
Paul Winfield,1,0,L,Sounder
Oprah Winfrey,1,0,S,"Color Purple, The"
Debra Winger,3,0,L,"Officer and a Gentleman, An"
Mare Winningham,1,0,S,Georgia
Kate Winslet,7,1,4L1:3S0,"Reader, The(2008)"
Shelley Winters,4,2,1L0:3S2,"Diary of Anne Frank, The(1959)[w 41]"
Reese Witherspoon,2,1,L,Walk the Line
Natalie Wood,3,0,2L:1S,Splendor in the Grass(1961)
Peggy Wood,1,0,S,"Sound of Music, The"
Alfre Woodard,1,0,S,Cross Creek
James Woods,2,0,1L:1S,Salvador
Joanne Woodward,4,1,L,"Three Faces of Eve, The"
Monty Woolley,2,0,1L:1S,"Pied Piper, The"
Teresa Wright,3,1,1L0:2S1,Mrs. Miniver[n 12]
Margaret Wycherly,1,0,S,Sergeant York
Jane Wyman,4,1,L,Johnny Belinda(1948)
Ed Wynn,1,0,S,"Diary of Anne Frank, The"
Diana Wynyard,1,0,L,Cavalcade
Michelle Yeoh,1,1,L,Everything Everywhere All at Once
Steven Yeun,1,0,L,Minari
Susannah York,1,0,S,"They Shoot Horses, Don't They?"
Burt Young,1,0,S,Rocky
Gig Young,3,1,S,"They Shoot Horses, Don't They?"
Loretta Young,2,1,L,"Farmer's Daughter, The"
Roland Young,1,0,S,Topper
Youn Yuh-jung,1,1,S,Minari
Ren?e Zellweger,4,2,3L1:1S1,Judy[w 42]
Catherine Zeta-Jones,1,1,S,Chicago
