Actor Name,Popularity (%),Fame (%)
Rachel Griffiths,52,33
Ray Stevenson,53,33
Sam Rockwell,57,33
Greta Gerwig,53,33
Jonathan Rhys Meyers,52,33
Christopher Guest,52,33
Stephen Collins,58,33
Rose Byrne,54,33
Meagan Good,50,33
Olivia Colman,50,33
Dominic Cooper,53,33
Rob Riggle,51,33
Jared Padalecki,51,33
Sebastian Stan,52,33
Awkwafina,58,33
Michelle Trachtenberg,52,32
Maximilian Schell,55,32
Eric Bana,55,32
Roberto Benigni,52,32
Charles Coburn,52,32
Rebecca Ferguson,53,32
Jean Arthur,54,32
Claudia Cardinale,49,32
Rooney Mara,55,32
Sam Worthington,52,32
Jeremy Piven,58,32
Ben Johnson,52,32
Marion Davies,50,32
Cobie Smulders,48,32
Timothée Chalamet,56,32
Abigail Breslin,55,32
Kathryn Hahn,53,32
Joseph Cotten,48,32
Nathan Fillion,50,32
Daisy Ridley,55,32
Debby Ryan,54,32
Olivia Cooke,54,32
Sally Kirkland,53,32
Billy Porter,59,32
Ethel Barrymore,54,32
Rosalind Russell,52,32
Tatyana Ali,52,32
Geraldine Page,52,32
Charlotte Rampling,49,32
Natasha Lyonne,55,32
Mercedes Ruehl,49,32
Joey King,49,32
Chrissy Metz,52,32
Richard Jenkins,51,32
Phoebe Waller-Bridge,51,32
Katherine Langford,51,32
Issa Rae,46,32
Famke Janssen,52,32
Charlie Day,51,32
Bobby Cannavale,50,32
Catherine Keener,48,32
Lauren London,49,32
Michelle Monaghan,52,32
Natalia Dyer,50,32
Lance Henriksen,48,32
Kathleen Quinlan,55,32
Jodie Whittaker,54,31
Chloe Sevigny,52,31
Anya Taylor-Joy,49,31
Hugo Weaving,48,31
Kieran Culkin,61,31
Fairuza Balk,51,31
Jamie Chung,49,31
Karl Urban,50,31
Jason Schwartzman,53,31
January Jones,56,31
Jameela Jamil,49,31
John RhysDavies,50,31
Alex Borstein,50,31
Gloria Stuart,50,31
Ray Milland,51,31
Cassandra Peterson,48,31
Greer Garson,52,31
Matthew Rhys,55,31
Chazz Palminteri,49,31
Maria Bello,51,31
Danica McKellar,51,31
Sandy Dennis,49,31
Ruth Gordon,50,31
Dorothy Malone,48,31
Stephen Fry,56,31
Letitia Wright,48,31
Mo'Nique Imes-Jackson,59,31
Celeste Holm,47,31
Jensen Ackles,46,31
Carrot Top,83,31
Natalie Dormer,49,31
Paul Scofield,55,31
Amy Ryan,50,31
Christine Taylor,49,31
Scott Caan,55,31
Lillian Gish,51,31
Dennis Haysbert,45,31
Steve Coogan,53,31
Tom Segura,49,31
Nicholas Hoult,47,31
John Gielgud,46,31
Rachel Brosnahan,46,31
Barbi Benton,58,31
Djimon Hounsou,45,31
Louis C.K.,64,30
Bruce Davison,51,30
Charles Laughton,50,30
Judy Davis,51,30
Bill Cosby,95,30
Juliette Binoche,48,30
Isabelle Huppert,48,30
Gloria Grahame,44,30
Leighton Meester,50,30
Eliza Dushku,50,30
Omar Sy,46,30
Giovanni Ribisi,52,30
Paul Lukas,45,30
Mark Strong,47,30
Jean Seberg,46,30
Lake Bell,47,30
Michael Ealy,48,30
Marion Cotillard,47,30
Eva Green,49,30
Michael Rooker,48,30
Imelda Staunton,48,30
Max Minghella,47,30
Saoirse Ronan,47,30
Nick Frost,47,30
Jon Heder,54,30
Jane Alexander,51,30
Barry Fitzgerald,47,30
David Strathairn,49,30
Justin Hartley,52,30
Mary Astor,50,29
Ian Somerhalder,46,29
John Boyega,50,29
Penn Badgley,48,29
CarrieAnne Moss,51,29
Gaten Matarazzo,46,29
Takashi Shimura,45,29
Paula Patton,51,29
Pete Postlethwaite,47,29
Stephanie Hsu,45,29
Charlie Hunnam,49,29
Uzo Aduba,44,29
Michael Ironside,51,29
JeanPaul Belmondo,46,29
Caleb McLaughlin,48,29
Matt Smith,49,29
Sadie Sink,45,29
Freddie Highmore,47,29
Elsie Fisher,45,29
A. J. Cook,44,29
Naya Rivera,52,29
Eric Stonestreet,47,29
Jennifer Saunders,46,29
Chris Cooper,50,29
Josh Gad,50,29
John Hawkes,50,29
Floyd Red Crow Westerman,44,29
Mary Elizabeth Winstead,46,28
Kathryn Erbe,46,28
Walter Huston,48,28
Emma Myers,47,28
Brian Tyree Henry,42,28
Maggie Grace,51,28
Edmund Gwenn,45,28
Amber Heard,81,28
Gig Young,49,28
Ben Foster,50,28
John Mills,48,28
Finn Wolfhard,49,28
Ray Winstone,46,28
Erich von Stroheim,44,28
Eileen Heckart,46,28
Paul Muni,47,28
George Lazenby,49,28
Chris Colfer,45,28
Freida Pinto,47,28
Chris Messina,48,28
Nigel Hawthorne,51,28
Taron Egerton,45,28
Emily Browning,48,28
Lena Dunham,63,28
Ronald Colman,47,28
Mia Wasikowska,45,28
George Sanders,50,28
Hong Chau,44,28
Chris Bauer,51,28
Sophie Marceau,45,28
Edmond OBrien,44,28
Ian Holm,44,28
Sally Hawkins,46,27
Jo Van Fleet,46,27
Rob Delaney,52,27
Donald Crisp,45,27
Jay Baruchel,45,27
Tom Hulce,44,27
Billy Crudup,50,27
Claire Foy,48,27
Teresa Palmer,42,27
Jared Harris,44,27
Noomi Rapace,43,27
Demián Bichir,40,27
Marisol Nichols,45,27
Jim Broadbent,42,27
Wallace Beery,45,27
Darren Criss,43,27
Miles Teller,49,27
Armie Hammer,57,27
Jena Malone,49,27
Lakeith Stanfield,44,27
Jonathan Bailey,45,27
Jack Davenport,48,27
Miles Brown,47,27
Aaron Taylor Johnson,45,27
Dean Jagger,46,27
Kaitlyn Dever,41,27
Mehcad Brooks,43,27
Marcello Mastroianni,48,27
Gemma Arterton,42,27
Josh Lawson,44,27
Shay Mitchell,42,27
Sebastian Maniscalco,46,27
Richard E. Grant,49,26
Jodie Comer,41,26
Tika Sumpter,41,26
Bill Hicks,47,26
Alexis Thorpe,42,26
Daveed Diggs,43,26
Holt McCallany,45,26
Joel McCrea,46,26
Tatiana Maslany,43,26
Sofia Carson,44,26
Mads Mikkelsen,45,26
Fredric March,45,26
Logan Lerman,46,26
Garrett Hedlund,42,26
Michael Hyatt,44,26
Ansel Elgort,46,26
Rebecca Hall,46,26
Lena Waithe,45,26
Billy Burke,51,26
Glenda Jackson,45,26
David Thewlis,42,26
Ellen Cleghorne,40,26
Paul Dano,40,26
Alicia Vikander,43,26
Lucas Hedges,43,26
Ramy Youssef,44,26
Michael Lerner,54,26
Melissa Leo,40,26
Taylor Kitsch,46,25
Jane Darwell,42,25
Thora Birch,44,25
Gael Garcia Bernal,43,25
AnnaSophia Robb,44,25
Marc Maron,46,25
Vincent Gallo,44,25
Jamie Bell,42,25
Janet McTeer,37,25
Noah Jupe,43,25
Tom Conti,52,25
Cynthia Erivo,39,25
Lana Condor,42,25
Ezra Miller,57,25
Kurt Sutter,43,25
Daniel Bruhl,39,25
Abbie Cornish,43,25
Teresa Ruiz,41,25
Thomas Mitchell,42,25
Ben Platt,49,25
Jean Dujardin,42,25
Jeanne Moreau,42,25
Beatrice Straight,36,25
Luise Rainer,37,25
Audrey Tautou,44,25
Ashley Park,42,25
Kiernan Shipka,42,25
Alex R. Hibbert,41,25
Tobin Bell,40,25
George Chakiris,42,24
Suraj Sharma,41,24
Hunter Schafer,40,24
Mo Rocca,46,24
Kiki Layne,41,24
Rufus Sewell,42,24
Sherry Cola,35,24
Andrew Scott,45,24
Marina de Tavira,35,24
Rachel Zegler,43,24
Pamela Adlon,42,24
Beanie Feldstein,39,24
Isabelle Adjani,42,24
Gale Sondergaard,41,24
Storm Reid,40,24
Christopher Abbott,45,24
Merritt Wever,40,24
Taylor Hill,45,24
Adrianne Palicki,43,24
Katie Aselton,39,24
Keisha CastleHughes,38,24
Stephen Rea,45,24
Victor McLaglen,43,24
Berenice Bejo,40,24
Lesley Manville,41,24
Jackie Earle Haley,40,24
Alice Eve,39,24
Richard Armitage,48,24
Édgar Ramírez,42,23
Franka Potente,39,23
Mireille Enos,39,23
Deobia Oparei,37,23
Brenda Blethyn,41,23
Mark Rylance,37,23
Jessica McNamee,40,23
Robin Weigert,39,23
John Cazale,42,23
Dan Petronijevic,40,23
Armin MuellerStahl,41,23
Cam Gigandet,39,23
Mercedes McCambridge,39,23
Tom Blyth,39,23
Riz Ahmed,36,23
Sarah Polley,41,23
Amandla Stenberg,40,23
Shannon Purser,38,23
Emmanuelle Riva,37,23
Sophie Okonedo,37,23
Harold Russell,38,22
Tobias Menzies,39,22
Rinko Kikuchi,33,22
Miyoshi Umeki,38,22
Robert Donat,36,22
Anna Magnani,36,22
Joe Taslim,38,22
Yahya Abdul Mateen II,35,22
Teresa Wright,38,22
Paul Walter Hauser,39,22
Harry Maldonado,42,22
Ioan Gruffudd,39,22
Jordan Bolger,36,22
Olivia Thirlby,38,22
Joseph Schildkraut,37,22
Lucas Bravo,35,22
Ranveer Singh,41,22
Choi Min-sik,38,22
Vincent Cassel,39,22
Rocci Williams,38,22
Aleksey Serebryakov,35,21
Jacki Weaver,38,21
Alfredo Quiroz,36,21
Millicent Simmonds,36,21
Setsuko Hara,38,21
Paddy Considine,41,21
Noah Centineo,37,21
Catalina Sandino Moreno,40,21
Domhnall Gleeson,39,21
Pauline Collins,40,21
Shohreh Aghdashloo,33,21
Fernanda Montenegro,38,21
Haing S Ngor,37,20
Jacob Perez,34,20
Koji Yakusho,32,20
Lashana Lynch,38,20
Niv Sultan,34,20
Mark Salling,39,20
Richard Zeppieri,36,20
D'Arcy Carden,32,20
Mark Gatiss,38,20
Samantha Morton,37,20
Bates Wilder,35,20
Griffin Gluck,34,19
Irrfan Khan,36,19
Shahrukh Khan,33,19
Sean A. Rosales,34,18
Merve Dizdar,32,18
Adriana Barraza,35,18
Mohanlal,32,17
Yalitza Aparicio,32,17
Romain Duris,31,17
