name,popularity,career_length,number_of_movies,interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_0,avg_budget_1,std_budget_0,std_budget_1,avg_revenue_0,avg_revenue_1,avg_imdb_rating_0,avg_imdb_rating_1,avg_order_0,avg_order_1,std_order_0,std_order_1,avg_popularity_0,avg_popularity_1,Popularity (%)
Katt Williams,17.044,20,38,3650,2002,2012,2012,2022,27,11,10535216.750841748,7447985.537190083,17317532.919736423,7973784.913027235,26515833.90951179,17525821.98140496,5.355555555555556,4.872727272727273,5.703703703703703,3.4545454545454546,9.943599522696198,7.03709181104132,20.279851851851852,19.408090909090912,61.53024346314789
Sarah Thompson,14.603,22,16,4015,1997,2008,2008,2019,6,10,4927083.333333333,3750000.0,5846386.066171325,4417649.261768073,4138534.1770833335,7592765.93125,5.316666666666666,5.4399999999999995,8.0,8.5,13.089435944047908,9.276313923105448,10.702666666666666,9.9566,61.53012784264216
A.J. Cook,20.361,22,20,4015,1997,2008,2008,2019,14,6,6796428.571428572,4245833.333333333,7723542.726294583,3712125.8696631263,12995968.50892857,3799972.7291666665,4.992857142857143,5.883333333333333,4.857142857142857,4.166666666666667,4.778779623907923,5.3359368645273735,20.00614285714286,17.360166666666668,61.52639771705574
Missy Crider,19.853,21,24,3650,1987,1997,1997,2008,10,14,4984375.0,10447321.42857143,3414778.6005281513,18602748.23001117,5929560.25,5242415.321428572,5.9,5.471428571428572,4.6,6.071428571428571,5.6956123463592565,8.06637009630802,12.5862,13.227285714285712,61.501822001078324
Whitney Anderson,15.777,24,16,4380,1995,2007,2007,2019,3,13,93750.0,194711.53846153847,0.0,256277.5097082234,0.0,0.0,4.433333333333333,4.892307692307693,6.333333333333333,5.461538461538462,5.792715732327588,4.199182788909594,9.659,8.037538461538462,61.49474025468883
Mark Feuerstein,31.858,22,23,4015,1998,2009,2009,2020,16,7,26071125.0,6124428.571428572,25401552.38950712,9356866.899420414,66096460.56919643,30216907.95408163,5.71875,5.585714285714286,5.8125,4.285714285714286,5.064814285835168,4.095791767666129,23.3260625,20.91142857142857,61.48756445890804
Carsten Norgaard,14.389,33,19,5840,1990,2005,2005,2023,10,9,24812500.0,22083333.333333332,24780757.40367917,22342232.368817184,40320257.975,46377154.333333336,6.369999999999999,5.722222222222222,6.9,12.444444444444445,4.887739763939974,10.636531505577173,14.921600000000002,11.905111111111111,61.479847850420796
J. C. MacKenzie,18.315,38,30,6935,1985,2004,2004,2023,10,20,32104312.5,56508193.75,10734466.968492486,50325835.21384473,41030196.46160714,84918325.73348212,6.5600000000000005,6.550000000000002,15.1,15.3,8.21522975941635,9.518928511129811,10.778,13.3425,61.461685699372175
Stephen Dillane,22.292,36,48,6570,1986,2004,2004,2022,22,26,12285511.363636363,15483533.653846154,23702340.38570483,23441921.53097464,19005646.178977273,28459877.222355768,6.377272727272726,6.392307692307693,3.772727272727273,4.923076923076923,4.177121868875508,6.10121726141644,14.142045454545457,13.528692307692303,61.45768632305456
Artie Lange,15.741,30,27,5475,1993,2008,2008,2023,20,7,16560511.363636363,8609577.922077922,16775742.057543213,820087.4289154198,29154971.979545455,8851349.099025976,5.755,6.257142857142858,7.25,5.428571428571429,5.485207379853564,6.630172220498453,10.517,8.24742857142857,61.44207125246274
